marker	chr	start
397	RSM_2_14.75	2	14750000
398	RSM_2_14.85	2	14850000
399	RSM_2_14.95	2	14950000
400	RSM_2_15.05	2	15050000
401	RSM_2_15.15	2	15150000
402	RSM_2_15.25	2	15250000
403	RSM_2_15.35	2	15350000
404	RSM_2_15.45	2	15450000
405	RSM_2_15.55	2	15550000
406	RSM_2_15.65	2	15650000
407	RSM_2_15.75	2	15750000
408	RSM_2_15.85	2	15850000
409	RSM_2_15.95	2	15950000
410	RSM_2_16.05	2	16050000
411	RSM_2_16.15	2	16150000
412	RSM_2_16.25	2	16250000
413	RSM_2_16.35	2	16350000
414	RSM_2_16.45	2	16450000
415	RSM_2_16.55	2	16550000
416	RSM_2_16.65	2	16650000
417	RSM_2_16.75	2	16750000
418	RSM_2_16.85	2	16850000
419	RSM_2_16.95	2	16950000
420	RSM_2_17.05	2	17050000
421	RSM_2_17.15	2	17150000
422	RSM_2_17.25	2	17250000
423	RSM_2_17.35	2	17350000
424	RSM_2_17.45	2	17450000
425	RSM_2_17.55	2	17550000
426	RSM_2_17.65	2	17650000
427	RSM_2_17.75	2	17750000
428	RSM_2_17.85	2	17850000
429	RSM_2_17.95	2	17950000
430	RSM_2_18.05	2	18050000
431	RSM_2_18.15	2	18150000
432	RSM_2_18.25	2	18250000
433	RSM_2_18.35	2	18350000
434	RSM_2_18.45	2	18450000
435	RSM_2_18.55	2	18550000
436	RSM_2_18.65	2	18650000
437	RSM_2_18.75	2	18750000
438	RSM_2_18.85	2	18850000
439	RSM_2_18.95	2	18950000
440	RSM_2_19.05	2	19050000
441	RSM_2_19.15	2	19150000
442	RSM_2_19.25	2	19250000
443	RSM_2_19.35	2	19350000
444	RSM_2_19.45	2	19450000
445	RSM_2_19.55	2	19550000
446	RSM_2_19.65	2	19650000
447	RSM_3_0.05	3	50000
448	RSM_3_0.15	3	150000
449	RSM_3_0.25	3	250000
450	RSM_3_0.35	3	350000
451	RSM_3_0.45	3	450000
452	RSM_3_0.55	3	550000
453	RSM_3_0.65	3	650000
454	RSM_3_0.75	3	750000
455	RSM_3_0.85	3	850000
456	RSM_3_0.95	3	950000
457	RSM_3_1.05	3	1050000
458	RSM_3_1.15	3	1150000
459	RSM_3_1.25	3	1250000
460	RSM_3_1.35	3	1350000
461	RSM_3_1.45	3	1450000
462	RSM_3_1.55	3	1550000
463	RSM_3_1.65	3	1650000
464	RSM_3_1.75	3	1750000
465	RSM_3_1.85	3	1850000
466	RSM_3_1.95	3	1950000
467	RSM_3_2.05	3	2050000
468	RSM_3_2.15	3	2150000
469	RSM_3_2.25	3	2250000
470	RSM_3_2.35	3	2350000
471	RSM_3_2.45	3	2450000
472	RSM_3_2.55	3	2550000
473	RSM_3_2.65	3	2650000
474	RSM_3_2.75	3	2750000
475	RSM_3_2.85	3	2850000
476	RSM_3_2.95	3	2950000
477	RSM_3_3.05	3	3050000
478	RSM_3_3.15	3	3150000
479	RSM_3_3.25	3	3250000
480	RSM_3_3.35	3	3350000
481	RSM_3_3.45	3	3450000
482	RSM_3_3.55	3	3550000
483	RSM_3_3.65	3	3650000
484	RSM_3_3.75	3	3750000
485	RSM_3_3.85	3	3850000
486	RSM_3_3.95	3	3950000
487	RSM_3_4.05	3	4050000
488	RSM_3_4.15	3	4150000
489	RSM_3_4.25	3	4250000
490	RSM_3_4.35	3	4350000
491	RSM_3_4.45	3	4450000
492	RSM_3_4.55	3	4550000
493	RSM_3_4.65	3	4650000
494	RSM_3_4.75	3	4750000
495	RSM_3_4.85	3	4850000
496	RSM_3_4.95	3	4950000
497	RSM_3_5.05	3	5050000
498	RSM_3_5.15	3	5150000
499	RSM_3_5.25	3	5250000
500	RSM_3_5.35	3	5350000
501	RSM_3_5.45	3	5450000
502	RSM_3_5.55	3	5550000
503	RSM_3_5.65	3	5650000
504	RSM_3_5.75	3	5750000
505	RSM_3_5.85	3	5850000
506	RSM_3_5.95	3	5950000
507	RSM_3_6.05	3	6050000
508	RSM_3_6.15	3	6150000
509	RSM_3_6.25	3	6250000
510	RSM_3_6.35	3	6350000
511	RSM_3_6.45	3	6450000
512	RSM_3_6.55	3	6550000
513	RSM_3_6.65	3	6650000
514	RSM_3_6.75	3	6750000
515	RSM_3_6.85	3	6850000
516	RSM_3_6.95	3	6950000
517	RSM_3_7.05	3	7050000
518	RSM_3_7.15	3	7150000
519	RSM_3_7.25	3	7250000
520	RSM_3_7.35	3	7350000
521	RSM_3_7.45	3	7450000
522	RSM_3_7.55	3	7550000
523	RSM_3_7.65	3	7650000
524	RSM_3_7.75	3	7750000
525	RSM_3_7.85	3	7850000
526	RSM_3_7.95	3	7950000
527	RSM_3_8.05	3	8050000
528	RSM_3_8.15	3	8150000
529	RSM_3_8.25	3	8250000
530	RSM_3_8.35	3	8350000
531	RSM_3_8.45	3	8450000
532	RSM_3_8.55	3	8550000
533	RSM_3_8.65	3	8650000
534	RSM_3_8.75	3	8750000
535	RSM_3_8.85	3	8850000
536	RSM_3_8.95	3	8950000
537	RSM_3_9.05	3	9050000
538	RSM_3_9.15	3	9150000
539	RSM_3_9.25	3	9250000
540	RSM_3_9.35	3	9350000
541	RSM_3_9.45	3	9450000
542	RSM_3_9.55	3	9550000
543	RSM_3_9.65	3	9650000
544	RSM_3_9.75	3	9750000
545	RSM_3_9.85	3	9850000
546	RSM_3_9.95	3	9950000
547	RSM_3_10.05	3	10050000
548	RSM_3_10.15	3	10150000
549	RSM_3_10.25	3	10250000
550	RSM_3_10.35	3	10350000
551	RSM_3_10.55	3	10550000
552	RSM_3_10.65	3	10650000
553	RSM_3_10.75	3	10750000
554	RSM_3_10.85	3	10850000
555	RSM_3_10.95	3	10950000
556	RSM_3_11.05	3	11050000
557	RSM_3_11.15	3	11150000
558	RSM_3_11.25	3	11250000
559	RSM_3_11.55	3	11550000
560	RSM_3_11.75	3	11750000
561	RSM_3_11.85	3	11850000
562	RSM_3_11.95	3	11950000
563	RSM_3_12.45	3	12450000
564	RSM_3_12.55	3	12550000
565	RSM_3_13.05	3	13050000
566	RSM_3_14.05	3	14050000
567	RSM_3_14.25	3	14250000
568	RSM_3_14.35	3	14350000
569	RSM_3_14.75	3	14750000
570	RSM_3_14.95	3	14950000
571	RSM_3_15.15	3	15150000
572	RSM_3_15.25	3	15250000
573	RSM_3_15.45	3	15450000
574	RSM_3_15.55	3	15550000
575	RSM_3_15.65	3	15650000
576	RSM_3_15.75	3	15750000
577	RSM_3_15.85	3	15850000
578	RSM_3_15.95	3	15950000
579	RSM_3_16.05	3	16050000
580	RSM_3_16.15	3	16150000
581	RSM_3_16.25	3	16250000
582	RSM_3_16.35	3	16350000
583	RSM_3_16.45	3	16450000
584	RSM_3_16.55	3	16550000
585	RSM_3_16.65	3	16650000
586	RSM_3_16.75	3	16750000
587	RSM_3_16.85	3	16850000
588	RSM_3_16.95	3	16950000
589	RSM_3_17.05	3	17050000
590	RSM_3_17.15	3	17150000
591	RSM_3_17.25	3	17250000
592	RSM_3_17.35	3	17350000
593	RSM_3_17.45	3	17450000
594	RSM_3_17.55	3	17550000
595	RSM_3_17.65	3	17650000
596	RSM_3_17.75	3	17750000
597	RSM_3_17.85	3	17850000
598	RSM_3_17.95	3	17950000
599	RSM_3_18.05	3	18050000
600	RSM_3_18.15	3	18150000
601	RSM_3_18.25	3	18250000
602	RSM_3_18.35	3	18350000
603	RSM_3_18.45	3	18450000
604	RSM_3_18.55	3	18550000
605	RSM_3_18.65	3	18650000
606	RSM_3_18.75	3	18750000
607	RSM_3_18.85	3	18850000
608	RSM_3_18.95	3	18950000
609	RSM_3_19.05	3	19050000
610	RSM_3_19.15	3	19150000
611	RSM_3_19.25	3	19250000
612	RSM_3_19.35	3	19350000
613	RSM_3_19.45	3	19450000
614	RSM_3_19.55	3	19550000
615	RSM_3_19.65	3	19650000
616	RSM_3_19.75	3	19750000
617	RSM_3_19.85	3	19850000
618	RSM_3_19.95	3	19950000
619	RSM_3_20.05	3	20050000
620	RSM_3_20.15	3	20150000
621	RSM_3_20.25	3	20250000
622	RSM_3_20.35	3	20350000
623	RSM_3_20.45	3	20450000
624	RSM_3_20.55	3	20550000
625	RSM_3_20.65	3	20650000
626	RSM_3_20.75	3	20750000
627	RSM_3_20.85	3	20850000
628	RSM_3_20.95	3	20950000
629	RSM_3_21.05	3	21050000
630	RSM_3_21.15	3	21150000
631	RSM_3_21.25	3	21250000
632	RSM_3_21.35	3	21350000
633	RSM_3_21.45	3	21450000
634	RSM_3_21.55	3	21550000
635	RSM_3_21.65	3	21650000
636	RSM_3_21.75	3	21750000
637	RSM_3_21.85	3	21850000
638	RSM_3_21.95	3	21950000
639	RSM_3_22.05	3	22050000
640	RSM_3_22.15	3	22150000
641	RSM_3_22.25	3	22250000
642	RSM_3_22.35	3	22350000
643	RSM_3_22.45	3	22450000
644	RSM_3_22.55	3	22550000
645	RSM_3_22.65	3	22650000
646	RSM_3_22.75	3	22750000
647	RSM_3_22.85	3	22850000
648	RSM_3_22.95	3	22950000
649	RSM_3_23.05	3	23050000
650	RSM_3_23.15	3	23150000
651	RSM_3_23.25	3	23250000
652	RSM_3_23.35	3	23350000
653	RSM_3_23.45	3	23450000
654	RSM_4_0.05	4	50000
655	RSM_4_0.15	4	150000
656	RSM_4_0.25	4	250000
657	RSM_4_0.35	4	350000
658	RSM_4_0.45	4	450000
659	RSM_4_0.55	4	550000
660	RSM_4_0.65	4	650000
661	RSM_4_0.75	4	750000
662	RSM_4_0.85	4	850000
663	RSM_4_0.95	4	950000
664	RSM_4_1.05	4	1050000
665	RSM_4_1.15	4	1150000
666	RSM_4_1.25	4	1250000
667	RSM_4_1.35	4	1350000
668	RSM_4_1.45	4	1450000
669	RSM_4_1.55	4	1550000
670	RSM_4_1.85	4	1850000
671	RSM_4_1.95	4	1950000
672	RSM_4_2.05	4	2050000
673	RSM_4_2.15	4	2150000
674	RSM_4_2.25	4	2250000
675	RSM_4_2.35	4	2350000
676	RSM_4_2.45	4	2450000
677	RSM_4_2.55	4	2550000
678	RSM_4_2.65	4	2650000
679	RSM_4_2.75	4	2750000
680	RSM_4_4.05	4	4050000
681	RSM_4_4.15	4	4150000
682	RSM_4_4.25	4	4250000
683	RSM_4_4.85	4	4850000
684	RSM_4_5.15	4	5150000
685	RSM_4_5.25	4	5250000
686	RSM_4_5.35	4	5350000
687	RSM_4_5.45	4	5450000
688	RSM_4_5.55	4	5550000
689	RSM_4_5.65	4	5650000
690	RSM_4_5.75	4	5750000
691	RSM_4_5.85	4	5850000
692	RSM_4_5.95	4	5950000
693	RSM_4_6.05	4	6050000
694	RSM_4_6.15	4	6150000
695	RSM_4_6.25	4	6250000
696	RSM_4_6.35	4	6350000
697	RSM_4_6.45	4	6450000
698	RSM_4_6.55	4	6550000
699	RSM_4_6.65	4	6650000
700	RSM_4_6.75	4	6750000
701	RSM_4_6.85	4	6850000
702	RSM_4_7.15	4	7150000
703	RSM_4_7.25	4	7250000
704	RSM_4_7.35	4	7350000
705	RSM_4_7.45	4	7450000
706	RSM_4_7.55	4	7550000
707	RSM_4_7.65	4	7650000
708	RSM_4_7.75	4	7750000
709	RSM_4_7.85	4	7850000
710	RSM_4_7.95	4	7950000
711	RSM_4_8.05	4	8050000
712	RSM_4_8.15	4	8150000
713	RSM_4_8.25	4	8250000
714	RSM_4_8.35	4	8350000
715	RSM_4_8.45	4	8450000
716	RSM_4_8.55	4	8550000
717	RSM_4_8.65	4	8650000
718	RSM_4_8.75	4	8750000
719	RSM_4_8.85	4	8850000
720	RSM_4_8.95	4	8950000
721	RSM_4_9.05	4	9050000
722	RSM_4_9.15	4	9150000
723	RSM_4_9.25	4	9250000
724	RSM_4_9.35	4	9350000
725	RSM_4_9.45	4	9450000
726	RSM_4_9.55	4	9550000
727	RSM_4_9.65	4	9650000
728	RSM_4_9.75	4	9750000
729	RSM_4_9.85	4	9850000
730	RSM_4_9.95	4	9950000
731	RSM_4_10.05	4	10050000
732	RSM_4_10.15	4	10150000
733	RSM_4_10.25	4	10250000
734	RSM_4_10.35	4	10350000
735	RSM_4_10.45	4	10450000
736	RSM_4_10.55	4	10550000
737	RSM_4_10.65	4	10650000
738	RSM_4_10.75	4	10750000
739	RSM_4_10.85	4	10850000
740	RSM_4_10.95	4	10950000
741	RSM_4_11.05	4	11050000
742	RSM_4_11.15	4	11150000
743	RSM_4_11.25	4	11250000
744	RSM_4_11.35	4	11350000
745	RSM_4_11.45	4	11450000
746	RSM_4_11.55	4	11550000
747	RSM_4_11.65	4	11650000
748	RSM_4_11.75	4	11750000
749	RSM_4_11.85	4	11850000
750	RSM_4_11.95	4	11950000
751	RSM_4_12.05	4	12050000
752	RSM_4_12.15	4	12150000
753	RSM_4_12.25	4	12250000
754	RSM_4_12.35	4	12350000
755	RSM_4_12.45	4	12450000
756	RSM_4_12.55	4	12550000
757	RSM_4_12.65	4	12650000
758	RSM_4_12.75	4	12750000
759	RSM_4_12.85	4	12850000
760	RSM_4_12.95	4	12950000
761	RSM_4_13.05	4	13050000
762	RSM_4_13.15	4	13150000
763	RSM_4_13.25	4	13250000
764	RSM_4_13.35	4	13350000
765	RSM_4_13.45	4	13450000
766	RSM_4_13.55	4	13550000
767	RSM_4_13.65	4	13650000
768	RSM_4_13.75	4	13750000
769	RSM_4_13.85	4	13850000
770	RSM_4_13.95	4	13950000
771	RSM_4_14.05	4	14050000
772	RSM_4_14.15	4	14150000
773	RSM_4_14.25	4	14250000
774	RSM_4_14.35	4	14350000
775	RSM_4_14.45	4	14450000
776	RSM_4_14.55	4	14550000
777	RSM_4_14.65	4	14650000
778	RSM_4_14.75	4	14750000
779	RSM_4_14.85	4	14850000
